Day 3
Enhance v.
Domestic adj.
Consciousness n.
Conscious adj.
Apprentice n.
Temperate adj.
Representative n.
Portion n.
Pore n.
Porous adj.
Porosity n.
Issue n.
Gill n.
Generation n.
Fort n.
Federal adj.
Emit v.
Emission n.
Conventional adj.
Convention n .
Surveyor n.
Insufficient adj.
Suck v.
Spontaneous adj. 
Sophisticated adj.
Shellfish n.
Plankton n.
Multiple n. 	adj.
Mantle n.
Inevitable adj.
Freshwater n.
Exploratory adj.
Dweller n.
Decay n.
Coppersmith n.
Ceremonial adj. =ritual
ceremony n.
cast v. n.
Animation n.
Abundance n.
Volume n.
Visual adj.
Stretch v.
Mississippi n.
Investigate v.
Graze v.
critical adj.
Criticize v.
Creature n.
Coarse adj.
Barb n.
Atlantic n.
Anthropologist n.
Agrarian adj.
Saturate v.
propose v.
stagecoach n.
nutritional adj.
nutrition n.
magnetic adj.
justify v.
invest v.
imitative adj.
glaze v.
engage v.
geometric adj.
formalize v.
extract v.
entrance n.
crucial adj.
collectively adv.
molecular adj.
collectively
charcoal n.
archaeopteryx n.
archaeology n.
aesthetically adv.
streamline v.
stove n.
Unfortunately adv.
Ultimately adv.
Subsequent adj.
Severe adj.
Satire n.
Nevertheless adv.
Neolithic adj. 
Molt v.
Maria n.
Fluctuate v.
fictional adj.
drain v.
tract n.
Category n.
Wagon n.
thrive v.
Scheme n.
mill n.
journeymen n.
Revise v.
Repress v.
Pterosaur n.
Moderate adj.
Inspiration n.
Hatch n.
Gulf n.
excavate v.
Engrave v.
Debris n.
assemble v.
antarctic n.
supplement n.
Crude adj.
Cone n.
Cognitive adj.
Clue n.
Catastrophe n.
Assemble v.
Twig n.
Terrain n.
Terra n.
Superior n.
superiority n.
struggle v.
substantial adj.
Stem n.
Spiral n.
Speculation n.
Slope n.
Sieve n.
Shrub n.
Psychological adj.
Primate n.
Unprecedented adj.
Originate v.
Orchid n.
Orchestra n.
Nutrient n.
Molten adj.
Moist adj.
Mechanize v.
Intrigue v.
Igneous adj.
Hypothalamus n.
Hence adv.
Figurine n.
Falcon n.
Extent n.

