Day 5
Imagination n.想像力
Imaginary adj.想像的
Humidity n.湿度
Gull n.海湾
gravel n.沙砾
flask n.细劲瓶
exterior n.外部
elsewhere n.在别处
droplet n.水滴
domestication n.驯养
distort v.扭曲
disgust v.厌恶
depletion n..消耗、耗竭
criterion n.标准
compress v.压缩
bureau n.当局
bombard v.炮击
attachment n.附庸、联想
aristocrat n.贵族
analogy n.类比
alkali n.碱
advertise v.做广告
weave v.编织
workshop n.工作室
vulnerable adj.易受攻击的
trolley n.电车
trance n.恍惚
thrust v.插入
tactic n.策略
synthetic adj.合成的
substitute n.??
squash n.南瓜
solitary adj.独自的,孤独的
silica n.硅
shelve n.书架
scatter v.消耗
resolution n.决心
ranch v.经营农场
proponent n.支持者
prolific adj.多产的
presentation n.展示
precipitation n.猛然下降
precious adj.珍贵的
precise adj.精确的
previous adj.之前的
prairie n.平原
phonograph n.留声机
penicillin n.盘尼西林
penetrate v.渗透
overall adj.全部的
ornamental  adj.装饰的
neutral adj.中立的
military n.军事	adj.军队的	
metropolitan adj.大都市的
meteoric adj.陨石的、流星的
linen n.亚麻
instinctive adj.本能的
incubate v.孵化
incise v.切割
impose v.把···强加给
homestead n.家园牧场
fin n.鳍
extensive adj.排外滴
exploit v.使用
erect v.使竖立
equivalent n.同等物
deliberate adj.精心策划的
deficiency n.缺乏、不足
defend v.抵御
curve n.使弯曲
controversial adj.争论的
collision n.碰撞、冲突
cliff n.悬崖
cargo n.货物
basalt n.??
antibiotic n.抗生素
ward v.守护
tongue n.舌头
tectonic n.??
sulfur n.硫
sulfuric adj.硫酸的
strike v.罢工、打击
spinal adj.脊柱的
spectacular n.奇观
slab n.平板
senate n.参议院
realm n.领域
putrefy v.化脓
presumably adv.？？？
Periphery n.周边
Pebble n.小圆石
Patch n.补丁
Parallel n.平行
Pale n.两级
Ore n.矿石
Notion n.概念、想法
Mule n.骡子
Mound n.??
Monument n.纪念碑
Mobility n.灵活性
Millennia n.千禧年
Magnesium n.镁
Limb n.四肢
Laden adj.装满的
Incursion n.入侵
Invasion n.入侵
Interstellar adj.星际间的
Interfere v.阻碍
Intact adj.完整的
Insulation n.隔离、绝缘体
Inscribe v.刻
Inclination n.倾向
Hawk n.鹰
Genetically adv.从遗传学来看
Fungal adj.真菌的
Foul adj.污		v.玷污	
Formidable adj.令人害怕的、强大的
Exclusively adv.排外的
Exchange v.交换
Ethology n.动物行为学
Drastically adv.大大地、彻底地
Disseminate v.散布、传播
Diminish v.减少
Deterioration n.恶化
Council n.议会
convenient adj.方便的
Contraction n.缩回
Complain v.抱怨
Compensation n.补偿
Commonplace adj.普通的 	=common
Commodity n.大宗商品
Combustible adj.可燃的
Cohesive adj.粘性的
Broadside n.??
Brilliance n.光辉
Botanical adj.植物的
Biotic adj.植物学家
Archaic adj.古老的
Woolly adj.羊毛制的
Withdrawal n.退兵		v.退兵
Weed n.海草
Wedge n.楔子
Transparent adj.透明的
Upcoming    adj.即将到来的
wander      v.想知道
arbitrary   adj.专制的、任意的
feasible    adj.可行的
hemlock     n.铁杉
intercity   n.城市间
interfere   v.阻碍
mold        n.模子
senate      n.参议院
accustom    v.使习惯于
cord        n.绳子
coral       adj.珊瑚的
fingerboard n.键盘
leisure     n.休闲
primal      adj.原始的
profound    adj.较深的
stimulus    n.刺激
trample     v.践踏
alpain      n.高山
attentive   adj.注意的
closet      n.壁橱
ease        v.放松
fantasy     n.幻想
illumination n.照明

