Day 2
competitive adj.竞争的
scale n.刻度,天平
biological adj.生物学的
tone n.音调
tongue n.舌头
prey n.被捕食者
frame n.帧、框架
tension n.紧张，拉紧
Ritual adj.仪式的
era n.时代
Device n.
Scale n.刻度、天平
Hydrogen n.氢
Climax n.高潮
Aquifer n.含水层
Microscopic adj.显微镜可视的
Metal n.金属的
Helium n.氦
Continental adj.大陆的
Supercontinent n.超级大陆
Contemporary n.当代的
Stimulate v.刺激
Immeasurably adv.广袤无垠地
Burial n.埋葬、葬礼
Approximately adv.大约
Subject n.主题、项目、科目v.使遭受、使隶属于
Route n.路径
Opportunist n.机会主义者
Intense adj.强烈的、剧烈的
Intensive adj.加强的
Intensity n.强度
Intensify v.加强
Dietary adj.饮食的
Resemble v.像
Maintenance n.维持、保持
Fungi n.菌类
Lichen n.苔藓
Emerge v.发生
Comparison n.对比
Textural adj.纹理的
Dominate v.统治、控制、占优势地位
Dominant adj.占优势的
Depression n.压抑、压迫、镇压
Vapor n.蒸汽
Evaporate v.蒸发、消失
Rent .n 出租
Property n.财产属性
Practical adj.实用的
Minor adj.较小的
photography n.摄影
photographic adj.摄影的
Machinery n.机器;结构
Crystalline adj.水晶般的
Canal n.运河
Loose v.放松 adj.松的
Internal n.内部
Inhabitant n.居住者
Inhabit v.居住
Chimpanzee n.大猩猩
Solution n.溶液
Portray v.描绘
Parlor n.店子
Distinct adj.清晰的
Distinctive adj.可区分的
Tulip n.郁金香
Textile n.组织
Terrestrial adj.陆地的
Surge v.汹涌
merchant n.商人
Migration n.迁移
Migratory adj.迁移的、移居的
Immigration n.迁移
Fundamental n.基础
Pueblo n.印第安人村庄
Mechanism n.机制
Industrialization n.工业化
Preindustrial adj.未工业化的
Immigrant n.移民（人）
Bacteria n.细菌
Bacterial adj.细菌的
Corresponding adj.相应的、一致的
Respondent n.回应者
Prehistoric adj.史前的
Consequence n.结果
Sequence n.序列
Commercial adj.商业的
Commerce n.商业
Commercially adj.在商业角度上
represent v.描述、代表
Pottery n.陶器
Potash n.碳酸钾
Myth n.神话
geological adj.地质学的
conception n.构想
Squirrel n.松鼠
disprove v.证明···是假的
personal adj.私人的
personality n.个性
physic n.医学
explosion n.爆发
carve v.刻
Cretaceous adj.
Capital adj.首都的、资本的
Component n.成分
Appropriate adj.合适的
Tropical adj.热带的
Permanence n.永久
Vertebrate n.脊椎动物
Tribe n.部落
electron n.电子
Depict v.显示
Auroras n.极光
Whereas n.但是
Venus n.金星
Vent n.v.发泄、释放
University n.普遍性
Rite n.仪式
Prior adj.先的
Primitive n.原始人
Mineral n.矿物的
Livestock n.牲畜
Canopy n.帐篷
Sanctuary n庇护所
Restrict v.限制
Reduction n.减少
Nouveau adj.新近到达的
Muddy adj.泥泞的
Hypothesis n.假设
Corn n.小麦、玉米
Alder n.赤杨
Silversmith n.银匠
Sheet n.帆布
Resistance n.抵抗
Psychodynamic n.精神动力学
proportion n.比例
Hominid n.原始人
ecological adj.电的、与电相关的
presidency n.总统职位

