Day 6
Territory n.领土
Tenant n.房客
Tapestry n.挂毯
Supreme adj.上级的 n.上司
Supplant n.提供商
Stoneware n.瓷器
Stalk n.茎部
Spun adj.纺织的
Sponge n.海绵
Spill v.溢出
Solemn adj.严肃的
Sole adj.单独的
Slick n.	adj.光滑的
Sketch v.打草稿
Silt n.淤泥
Sedentary adj.久坐的
Scurry v.急匆匆
Rudimentary adj.基础的
Retail v.零售、转述
Replenish v.把···装满
Rear n.后部
Prone adj.倾向的
Prestige n.名声、名望
Plumb n. 垂直；铅锤
Peregrine adj.外来的 n. 游隼
Pamphlet n.小册子
Otter n.
Ornate v.装饰
Octopus n.章鱼
Obsidian n.黑曜石
Numerical adj.数字的
Notwithstanding prep.经受不住
Moth n.飞蛾子
Minuscule n.草书小体字
Metabolism n.新陈代谢
Merchandise n.商品 v.售卖	
Mate v.配对
Marsh n.沼泽
Lug n.把手
Locomotive n.火车头
Lithospheric adj.岩石圈的
Lament v.哀悼
Kerosene n.煤油
Jewelry n.珠宝
Jaw n.咽喉
Inferior adj.低下的
Indispensable adj.不可缺少的；绝对必要的；责无旁贷的
Incidental adj. 附带的；偶然的；容易发生的
Immense adj.巨大的
Ignite v.点燃
Humanity n.人性
Hibernate v.冬眠
Heel n.脚后跟
Headquarter n.总部
Hazard n.不好的事情
Guncotton n.棉火药
Gosling n.
Gigantic adj.巨大的
Gear n.齿轮
Formula n.方程
Fortuitous adj.偶然的		=occasional	
Flake n.薄片
Feldspar n.长石
Fathom n. 
Facilitate v.促进
Experimentation n.实验
Expenditure n.开销
Ethnic adj.民族的
Envision v.想象
Ember n.灰烬
Dynamics n.动态、世代
Disrupt v.打扰
Discipline n.纪律
Devoid adj.缺乏的
Designate v.任命
Dedicate v.致力于
Crown n.皇冠
Crevice n.裂缝
Cranial adj.头盖骨
Cramp v.钳 n.
Counterpart n.副本
Conifer n.针叶林
Clan n.家族
Chlorophyll n.叶树体
Chisel n.凿子 v.	
Cedar n.雪松
Caste n.种新制度
Bovine n.牛
Boulder n.大圆石
Beak n.鸟嘴
Ascent n.上升
Archaeocyte n.考古学
Arboreal adj.树木的；栖息在树上的
Adept adj.熟练的
Whereby adv.凭什么	=(how )
Viscosity n.粘性
Vigorous adj.巨大的
Vacancy n.空缺；空位；空白；空虚
Turbulent adj.骚乱的，混乱的；
Tributary n.附庸国
Torque n.力矩
Tobacco n.烟草
Terrace n.大阳台
Tentatively adv.试探性的
Suspect v.怀疑的
Succulent adj.多汁的
Subsidize v.资助
Subscribe v. 签署、捐赠
Strive vi. 努力；奋斗；抗争
Stationary adj.静止的；定居的
Startle v. 使吓一跳；使惊奇
Stagnant adj.萧条的
Squander v.挥霍
Spectator n.奇迹
Spearhead v.矛头
Sodium n.钠
Soak v.吸收 
Snap v.吃
Slush n.融雪、雪泥
Slate n.
Skeptical adj.怀疑的
Shale n.
Shaft n.轴
Seep n.小泉
Secular adj.世俗的
Scope n.范围
Slope n.斜面
Scavenger n.食腐动物
Saint n.圣人
sacred adj.圣神的
rust n.铁锈
revere v.崇敬
retract v.缩回
repertoire n.全部剧情
render v.呈递
regolith n.浮土
recruitment n.招募新兵
reap n.收获、收割
raft n.木筏	v.划木筏
pursuit 	n.追求
pursue v.追求
purification n.纯化
protrude v.伸出
prose n.散文
prodigious adj.巨大的
porpoise n.小鲸鱼
propose v.提出
plutonic adj.
plow v.犁地

