Day 7
Plight n.困境
Plaster n.石膏
Perishable adj.易腐败的
Percussion n.拍打;拍打乐器
Perceive v.
Peninsula n.小岛
Penchant n.
Patent n.专利
Patchiness n.点缀
Pasture n.	v.
Parasitic adj.寄生的
Optical adj.光学的
Onward adj.向前的 	adv.向前地
Notable n.著名人物	adj.显著的
Nomadic adj.游牧民族的
Nitric adj.氮的
Needle n.针头		v.打针
Nectar n.甘露
Narrative n.叙述	adj.旁白的、叙述的
Myriad adj.无数的
Mussel n.肌肉
Morphology n.形态学
Morally adj.道德的
Monopoly adj.垄断的
Momentum n.纪念碑
Midair n.空中
Meticulous adj.注意的
Methane n.沼气
Meteorologist n.气象学家
Melody n.曲调
Megawatt n.百万瓦特
Mediterranean n.地中海
Mediocre adj.中等的
medieval adj.中世纪的
Manure n.饲料
Magnitude n.强度
Magnify v.放大
Lure n.诱惑
Longevity n.长寿
Lizard n.蜥蜴
Linguistic adj.语言学的
Liberty n.自由
Landform n.地形
Kiva n.穴
Kinetic adj.
Keen adj.坚持的
Isotope n.同位素
Iridium n.铱
Intoxication n.着迷
Intimate adj.
Integrity n.完整
Ingredient n.原料、成分
Indefinite adj.未定义的
Inconspicuous adj.不显著的
Identical adj.一样的、相同的
Huddle v.挤作一团
Hormone n.荷尔蒙
Homogeneous adj.同一种族的
Haul v.拖拉
Hamper v.阻碍
Grandiose adj.极大的
Gradient n.梯度
Girder n.房梁
Gibbon n.长臂猿
Frown v.皱眉
Friction n.摩擦力
Fracture n.骨折	v.使骨折
Foliage n.树叶
Fodder n.饲料
Fleece n.棉花
Flax n.亚麻
Fern n.蕨类植物
Feat n.杰作
Exuberant adj.
Extermination n.
Exempt v.豁免
Execution n.应用、使用
Ether n.乙醚
Estate n.不动产
Erectus n.直立人
Equatorial n.赤道
Epitome n.象征
Episode n.集、部
Endure v.持续
Encroach v.
Earthenware n.陶器
Dwarf v.使···变矮子
Dormancy n.寝
Dolphin n.海豚
Disguise v.假装
Discrete adj.离散的
Discern v.???
Discard v.丢弃
Diffuse v.散布
Devour v.???
Despondent adj.失望的
Deprive v.剥夺
Depart v.分离
Demise n.死亡
Dehydrate v.脱水
Deciduous adj.???
decompose v.分解
Curtain n.帘子		v.??
Cue n.线索	v.暗示
Cotta n.白色小领衣服
Corpse n.尸体
Contrary n.???
Contour n.轮廓
Constitute v.组成
Condense v.
Compromise v.妥协
Comprise v.出现
Clinical adj.临床的
Chimney n.烟囱
Celsius n.华氏摄氏度
Cellulose n.
Celestial adj.天空的
Cavity n.洞穴
Calcareous adj.钙
Bushy adj.灌木
Breed n.
Boast v.嘲讽
Bluish adj.呈蓝色的
Bison n.公牛
Bilingual adj.双语的
Bias n.偏见、偏移
Bemoan v.惋惜
Barter v.物物交换
Barren adj.贫瘠的
Barn n.谷物
Auditorium n.观众席
Attest v.证实
Astounding adj.令人惊骇的
Assure v.确保
Arduous adj.艰巨的
Aqueduct n.水渠
Anticipate v.参加
Antennae n.触角
Alloy n.合金
Alkaloid n.生物碱
Algae n.藻类
Aggravating adj.加剧的、恶化的
Adorn v.装饰
